host,id,status
ubuntu-desktop-2404-vdi-20260609,155,REPROVADO
ubuntu-desktop-2404-vdi-20260609,156,APROVADO
ubuntu-desktop-2404-vdi-20260609,157,REPROVADO
ubuntu-desktop-2404-vdi-20260609,158,APROVADO
ubuntu-desktop-2404-vdi-20260609,159,REPROVADO
ubuntu-desktop-2404-vdi-20260609,160,REPROVADO
ubuntu-desktop-2404-vdi-20260609,161,APROVADO
ubuntu-desktop-2404-vdi-20260609,162,REPROVADO
ubuntu-desktop-2404-vdi-20260609,163,APROVADO
ubuntu-desktop-2404-vdi-20260609,164,APROVADO
ubuntu-desktop-2404-vdi-20260609,165,REPROVADO
ubuntu-desktop-2404-vdi-20260609,166,REPROVADO
ubuntu-desktop-2404-vdi-20260609,167,REPROVADO
ubuntu-desktop-2404-vdi-20260609,168,REPROVADO
ubuntu-desktop-2404-vdi-20260609,169,REPROVADO
ubuntu-desktop-2404-vdi-20260609,170,REPROVADO
ubuntu-desktop-2404-vdi-20260609,171,REPROVADO
ubuntu-desktop-2404-vdi-20260609,173,REPROVADO
ubuntu-desktop-2404-vdi-20260609,174,REPROVADO
ubuntu-desktop-2404-vdi-20260609,175,REPROVADO
ubuntu-desktop-2404-vdi-20260609,176,REPROVADO
ubuntu-desktop-2404-vdi-20260609,177,REPROVADO
ubuntu-desktop-2404-vdi-20260609,178,REPROVADO
ubuntu-desktop-2404-vdi-20260609,179,REPROVADO
ubuntu-desktop-2404-vdi-20260609,180,REPROVADO
ubuntu-desktop-2404-vdi-20260609,181,REPROVADO
ubuntu-desktop-2404-vdi-20260609,182,REPROVADO
ubuntu-desktop-2404-vdi-20260609,183,REPROVADO
ubuntu-desktop-2404-vdi-20260609,184,REPROVADO
ubuntu-desktop-2404-vdi-20260609,185,APROVADO
ubuntu-desktop-2404-vdi-20260609,186,APROVADO
ubuntu-desktop-2404-vdi-20260609,187,REPROVADO
ubuntu-desktop-2404-vdi-20260609,188,REPROVADO
ubuntu-desktop-2404-vdi-20260609,189,REPROVADO
ubuntu-desktop-2404-vdi-20260609,190,REPROVADO
ubuntu-desktop-2404-vdi-20260609,191,APROVADO
ubuntu-desktop-2404-vdi-20260609,192,APROVADO
ubuntu-desktop-2404-vdi-20260609,193,APROVADO
ubuntu-desktop-2404-vdi-20260609,194,APROVADO
ubuntu-desktop-2404-vdi-20260609,195,APROVADO
ubuntu-desktop-2404-vdi-20260609,196,REPROVADO
ubuntu-desktop-2404-vdi-20260609,197,APROVADO
ubuntu-desktop-2404-vdi-20260609,198,REPROVADO
ubuntu-desktop-2404-vdi-20260609,199,APROVADO
ubuntu-desktop-2404-vdi-20260609,200,APROVADO
ubuntu-desktop-2404-vdi-20260609,201,APROVADO
ubuntu-desktop-2404-vdi-20260609,202,REPROVADO
ubuntu-desktop-2404-vdi-20260609,203,REPROVADO
